,,mean_air_temperature,mean_air_temperature,mean_air_temperature,total_precipitation,total_precipitation,total_precipitation,mean_wind_speed,mean_wind_speed,mean_wind_speed
,,mean,median,std,mean,median,std,mean,median,std
year,season,,,,,,,,,
2010,Fall,4.1109890109890115,5.8,7.513269011103706,2.0406593406593405,0.2,4.453911589752141,2.5615384615384613,2.2,1.247643933426274
2010,Spring,3.933695652173913,3.75,4.21510306924712,2.1836956521739133,0.5,3.253105943553159,2.3293478260869565,2.2,0.9103239422784246
2010,Summer,13.423913043478262,13.35,3.4019829241974895,2.1054347826086954,0.4,4.701048845571296,2.231521739130435,2.2,0.6461941578443022
2010,Winter,-6.66,-5.55,5.615023987662249,1.4733333333333332,0.15000000000000002,2.892524265967959,2.3044444444444445,2.3,1.0140486337993664
2011,Fall,7.969230769230769,8.4,3.8466635559690574,3.127472527472528,1.3,4.665453793197304,2.5428571428571427,2.3,1.1534626957453764
2011,Spring,5.940217391304348,6.199999999999999,4.521087581462525,2.634782608695652,0.75,4.234199712456764,2.994565217391304,2.6,1.529229076080011
2011,Summer,14.170652173913044,14.3,2.770271460633347,2.845652173913044,0.55,4.952619753942158,2.0826086956521737,2.1,0.6160149662182515
2011,Winter,-0.73,0.15000000000000002,3.9111609242373158,2.2177777777777776,0.45,3.6256135560657303,3.3033333333333337,3.0,1.5746196259072014
2012,Fall,5.234065934065934,5.5,4.095314932408057,2.534065934065934,0.4,4.419331769000069,2.4054945054945054,2.2,1.0686817047561852
2012,Spring,4.801086956521739,4.65,3.9592011228045747,3.604347826086957,1.25,5.170901531350051,2.984967391304348,2.8,1.2525266723144277
2012,Summer,12.552173913043477,12.6,2.8456436055594607,2.3152173913043477,0.2,4.052131030246632,2.0532608695652175,2.0,0.5524075352901965
2012,Winter,-2.6769230769230767,-1.6,4.694419309091663,2.674725274725275,0.4,4.482077727686208,2.6758241758241756,2.4,1.4125894787265816
2013,Fall,6.4813186813186805,5.9,4.763096847124943,2.7868131868131867,0.5,5.082305006178218,2.4197802197802196,1.9,1.4368344666290838
2013,Spring,4.2423913043478265,3.05,7.314628331324707,1.7815217391304348,0.25,3.5502647896241903,2.816304347826087,2.6,1.1589382383977367
2013,Summer,13.517391304347825,13.149999999999999,2.8016325184212145,2.9402173913043477,1.05,4.5624617362865445,2.2195652173913043,2.1,0.681181767295306
2013,Winter,-1.2333333333333334,0.05,5.3017698973968885,1.962222222222222,0.5,3.306533463548803,2.671111111111111,2.3,1.398413583069529
2014,Fall,7.435164835164835,7.3,4.601144148201346,1.6494505494505494,0.1,3.637073720768559,2.2967032967032965,1.8,1.2236058324522787
2014,Spring,6.184782608695652,5.85,4.267225847753805,1.941304347826087,0.4,2.8337119745496655,2.777173913043478,2.6,1.1817386391161646
2014,Summer,15.429347826086957,15.2,4.44555681486257,2.7543478260869567,0.4,5.174205105240237,2.257608695652174,2.1,0.59526219094405
2014,Winter,0.30888888888888894,1.35,4.946106048569459,1.0377777777777777,0.0,2.2718886751576566,3.3777777777777778,3.3,1.3262922702095032
2015,Fall,7.4923076923076914,8.3,4.167899304851857,2.0780219780219777,0.2,3.81199283541947,2.475824175824176,2.3,1.190923139542567
2015,Spring,5.0978260869565215,5.25,2.6914589475088007,2.0652173913043477,0.4,3.0931130441466324,2.9456521739130435,2.6,1.224153714713953
2015,Summer,12.967391304347826,12.55,3.86452188293194,2.7630434782608693,0.35,5.839044732034877,2.317391304347826,2.2,0.7734052994945098
2015,Winter,1.3477777777777777,2.05,3.2276274995583236,2.311111111111111,0.95,3.9097528426853776,3.433333333333333,2.8499999999999996,1.6655801702021997
2016,Fall,5.771428571428572,5.1,5.532696463635988,2.9175824175824174,0.3,5.736657823092028,2.089010989010989,1.8,1.0315522876229408
2016,Spring,5.304347826086956,4.65,4.363835218217281,1.4934782608695654,0.2,2.6419192302760575,2.506521739130435,2.3,0.9925883964649911
2016,Summer,13.344565217391304,13.350000000000001,3.0302636207242073,2.090217391304348,0.1,3.9632947716170683,2.133695652173913,1.95,0.6342386928762139
2016,Winter,-0.8263736263736264,0.1,4.6268500243406585,3.7153846153846155,1.4,5.418464790303678,2.8362637362637364,2.7,1.277455498987167
2017,Fall,6.552747252747253,6.5,5.739247737375046,2.0615384615384613,0.6,3.5948966676779524,2.623076923076923,2.4,1.0600919166727343
2017,Spring,4.301086956521739,3.6,4.123305367928822,1.6271739130434781,0.2,2.912613842924137,2.715217391304348,2.4,1.1387225137015171
2017,Summer,13.209782608695651,12.7,2.903202467553083,2.895652173913043,0.55,5.456056480393871,2.2804347826086957,2.1,0.7566901801047673
2017,Winter,-0.2977777777777778,0.0,3.604210327505026,2.1333333333333333,0.5,3.3830044488772995,2.6144444444444446,2.6,1.0467242761883608
2018,Fall,6.696703296703297,6.9,5.080757829507339,3.2846153846153845,0.7,4.648821190531903,2.546153846153846,2.3,1.2581562959176675
2018,Spring,5.173913043478261,5.45,7.346881966502397,1.3489130434782608,0.3,2.796249236844469,2.2532608695652177,2.1,0.8982829881521922
2018,Summer,13.856521739130434,13.05,3.974045032784497,2.63695652173913,0.8,5.172406020610225,2.220652173913044,2.0,0.7580394091466469
2018,Winter,-1.8222222222222222,-1.2000000000000002,4.234761916494039,1.8211111111111111,0.0,3.5682272829195987,3.0244444444444443,2.75,1.8612736433771864
2019,Fall,4.140659340659341,3.9,5.171588580825863,2.673626373626374,0.1,5.157127433946476,2.1074835164835166,1.9,0.960074445755089
2019,Spring,5.021739130434782,4.25,5.897006617944256,2.1815217391304347,0.2,4.773114479528754,2.5652173913043477,2.4,0.9818612939582352
2019,Summer,14.309782608695652,13.5,3.8651460254918626,2.342391304347826,0.1,4.795309835310629,2.2130434782608694,2.2,0.5863310004126611
2019,Winter,-0.21123595505617973,0.2,4.368337477655834,3.306741573033708,1.2,4.892057518263869,2.7786516853932586,2.3,1.5678931948573798
