,NO2,NO2,NO2,PM10,PM10,PM10,PM2.5,PM2.5,PM2.5
,mean,median,std,mean,median,std,mean,median,std
year,,,,,,,,,
2010.0,27.04602739726027,22.3,15.063198981978427,13.67013698630137,11.4,8.071453648022281,8.935342465753426,7.0,5.730224973574739
2011.0,22.642699724517904,19.7,12.783141106893753,12.585674931129478,10.0,8.58937180693004,7.794765840220386,6.1,5.149392512338004
2012.0,21.510481586402264,16.7,14.623157539161742,10.534277620396601,7.9,8.129365128262911,6.585552407932011,5.2,4.649876683751108
2013.0,20.94709141274238,18.0,12.822595014485534,9.941274238227148,7.4,7.955507354072121,5.756232686980609,4.5,4.466762584932271
2014.0,18.84573002754821,15.5,12.824633246405687,11.54517906336088,9.5,7.351678701700794,6.588980716253444,5.4,4.185312361810698
2015.0,18.23779761904762,14.75,9.894193981220708,8.04077380952381,6.5,5.755628367684462,4.753571428571429,3.8,3.2845889423573027
2016.0,19.469688385269123,17.6,9.993979105868169,9.079320113314447,7.7,5.955344962917766,5.58441926345609,4.5,3.3529347329941834
2017.0,19.68523076923077,16.0,12.877337868491969,8.375076923076923,6.4,6.166128135413356,5.488615384615384,4.2,3.655297135801295
2018.0,21.300273972602742,16.5,13.961148010492783,11.106301369863015,8.8,8.08562615346159,6.549315068493151,5.5,4.167730668503471
2019.0,18.087845303867404,15.55,10.028605418818861,9.520165745856355,7.6,6.9981285171490875,6.165193370165746,4.75,4.5305431411300034
2020.0,14.94233983286908,13.0,6.656197270788683,7.48857938718663,6.4,4.8674391806512896,4.644289693593315,3.8,2.924528226229112
2021.0,17.03527607361963,14.25,10.165716793396761,9.205828220858896,7.5,6.549301530904563,6.413190184049079,4.8,5.049232472430023
2022.0,13.732163742690057,10.6,9.519932199731215,8.66169590643275,6.8,6.658412141601919,4.951754385964913,4.2,2.9937833670103373
2023.0,17.878419452887538,16.1,7.159582691995594,8.786018237082066,6.3,7.065433652281247,5.457142857142857,4.2,4.017137721112293
2024.0,6.6744680851063825,5.3,4.520489462750849,11.263829787234043,8.7,8.76799962551788,5.469148936170213,4.35,3.5791819392039277
