,,NO2,NO2,NO2,PM10,PM10,PM10,PM2.5,PM2.5,PM2.5
,,mean,median,std,mean,median,std,mean,median,std
year,season,,,,,,,,,
2010,Fall,27.962083516483514,24.1792,14.458787098572149,15.188238461538461,12.4208,8.827656623359832,10.003225274725274,7.1083,6.752724996993492
2010,Spring,26.282468478260867,22.979149999999997,13.822656387035392,14.58082608695652,13.6146,8.242315854374185,7.850677173913043,7.29165,3.7429534355775544
2010,Summer,16.93636847826087,16.325,5.224758989150577,8.816210869565218,8.45625,4.058995494136329,5.4771282608695655,5.3271,2.158598526686314
2010,Winter,36.66619222222222,37.15415,17.39507294384315,17.29397777777778,17.027099999999997,7.914557512183353,13.788923333333333,13.52295,6.140820716825316
2011,Fall,25.51318901098901,23.2208,11.940986104277343,13.266200000000001,9.25,9.881285628589925,8.471152747252747,6.1284,6.07106405902148
2011,Spring,21.913185869565215,19.55415,10.466453280058355,15.194697826086957,13.183,9.174913393991682,7.204860869565218,6.4771,3.5247529048757458
2011,Summer,13.827970652173912,13.2375,5.4184360408008985,8.134561956521738,7.5125,4.008271441337012,5.230840217391305,4.67085,2.437384490317338
2011,Winter,29.287075555555557,28.01875,15.53620592849664,14.746382222222223,12.525,8.551633955488809,10.639937777777778,8.7771,6.256292595667321
2012,Fall,25.18369120879121,21.2125,12.541014003152023,10.844541758241759,10.0066,5.593792600315817,6.671572527472528,6.1284,2.6377633573442454
2012,Spring,16.419875,14.60835,9.405436949832806,11.940026086956523,9.42085,7.715167414446583,6.040522826086957,5.17085,3.094149808739679
2012,Summer,12.074447826086958,11.48125,4.1616161579942395,5.828577173913044,5.39375,2.529330095434569,3.875741304347826,3.5771,1.684089107503361
2012,Winter,32.12724285714285,27.7292,18.062797011851877,16.027186813186812,10.9583,10.794820359950505,11.415451648351649,8.5625,6.711522015995457
2013,Fall,20.739481318681317,19.4415,9.423685396759145,11.64157802197802,10.0066,6.964146893686615,6.930209890109889,6.0566,3.695747774854981
2013,Spring,16.146090217391304,15.4458,7.132369933859274,12.258141304347827,9.318750000000001,8.732933821631791,4.865118478260869,4.07915,2.4058727722944933
2013,Summer,12.829883695652175,12.3167,4.6840805486706305,4.8208086956521745,4.33125,2.4837393869609468,2.7623021739130436,2.51875,1.2776178227835284
2013,Winter,34.02124666666667,34.383300000000006,16.088079268337616,12.899267777777776,10.574200000000001,9.08908728758337,9.330084444444443,7.7292000000000005,6.097401354876677
2014,Fall,24.216567032967035,21.9542,12.875898648396934,12.48876043956044,11.0625,6.511898461685844,7.955879120879121,6.275,4.49447270157756
2014,Spring,16.644153260869565,14.9729,9.027981296173314,12.504952173913043,10.212499999999999,8.040565583962065,5.957788043478261,5.65415,2.9484782812715777
2014,Summer,11.082925,10.26485,4.725774915992178,9.139807608695651,8.14375,4.672660629644698,5.715905434782608,5.0333000000000006,3.0360084862976318
2014,Winter,23.4243,18.72085,16.72125847744909,12.695921111111112,9.96875,8.942281318312537,7.080094444444444,5.0083,5.473964362126772
2015,Fall,17.161173626373625,17.6079,5.915928905512175,7.956148351648352,9.1167,4.409731257832251,5.266241758241758,5.5333,2.7407483887137243
2015,Spring,15.021230434782607,13.21665,9.192719385299744,10.219803260869565,7.8625,7.318517384913827,4.341941304347826,3.6666499999999997,2.9469878484165424
2015,Summer,14.006591304347827,13.017900000000001,4.309946560048397,6.338833695652173,5.4979,3.811455907899646,4.050452173913043,3.5125,2.1594432015092853
2015,Winter,21.658813333333335,17.84055,12.916972789172577,8.447608888888889,7.1457999999999995,5.634947439285979,5.661905555555555,4.1738,4.277871669084966
2016,Fall,22.809014285714287,20.8905,9.725448972824642,11.570092307692308,11.7028,3.5336629123091328,7.334678021978021,6.8423,2.658616837120895
2016,Spring,14.912489130434784,13.64065,6.799742078697073,9.527297826086956,6.7479,7.713146069186723,4.312439130434782,3.5896,2.1798909385944674
2016,Summer,13.027854347826088,11.64585,4.5471190494379075,6.496913043478261,5.8604,2.882189832352843,4.205944565217392,3.7167000000000003,1.9103448690070506
2016,Winter,22.45536043956044,17.7317,12.523012409931823,10.080383516483517,6.9125,7.076563632084961,6.918751648351648,5.3583,4.7815042546686
2017,Fall,19.415883516483515,17.2241,9.81302737493225,8.95069010989011,7.1917,6.185166999309359,5.507656043956044,4.25,3.6723430873734726
2017,Spring,15.049192391304347,12.27085,9.495082864179428,9.175498913043478,7.55415,6.138043215529937,4.818457608695652,4.106249999999999,2.3764230600823004
2017,Summer,13.732769565217392,13.59375,5.216498247851022,6.7883576086956525,6.4104,2.579406558686787,4.661844565217391,4.94585,1.6045022085440968
2017,Winter,29.58954,27.322899999999997,15.545639626941748,9.52357,7.0229,7.351973175857491,7.287474444444444,5.7771,4.724055130460662
2018,Fall,21.47896263736264,18.9458,11.382346942892152,9.267438461538461,8.1126,5.853483533945487,5.686153846153847,4.9424,3.228878009405734
2018,Spring,20.65595,17.85415,10.273533728063013,15.989444565217392,13.6,10.359398584100134,7.417348913043479,6.40625,4.2466868392240045
2018,Summer,11.502097826086956,11.051,4.247356430859607,7.75124347826087,6.9979499999999994,3.864586803760933,4.691361956521739,4.268750000000001,2.123415142716329
2018,Winter,31.79312888888889,29.643749999999997,18.139589738440375,11.812686666666668,10.23125,8.209834130736276,8.985823333333334,7.36875,5.640401460252649
2019,Fall,19.159854945054946,17.0375,8.731208220722614,10.125485714285714,9.04,7.1195520626194755,6.456894505494506,5.3724,4.028265901969416
2019,Spring,15.753941304347824,14.8875,5.80542638765242,11.878259782608696,8.8417,8.827175002890876,6.1416195652173915,4.9833,5.008311586264129
2019,Summer,12.896841304347825,12.2292,4.290752581857262,7.234240217391305,6.2375,4.224460003154829,4.404222826086956,3.81875,2.3751898453263434
2019,Winter,25.099636666666665,23.11665,14.509403710755112,9.793471111111112,8.1979,6.392115732088593,7.983158888888888,7.00835,5.331663416150944
2020,Fall,15.885375824175823,13.7792,6.018355393190267,7.892461538461539,6.3042,5.118238468648048,4.991689010989011,3.9928,3.418042493411513
2020,Spring,11.171827173913043,10.05415,3.9120265143571933,7.336684782608696,6.075,5.832620050886877,3.6103239130434788,3.31665,1.8066834744316782
2020,Summer,15.188380434782607,13.8537,5.431768977839908,7.083407608695652,6.2875,3.8768182343578044,4.430915217391305,3.8354,2.445562600003344
2020,Winter,19.58116153846154,17.3333,8.70378111919398,7.760572527472527,7.425,4.2193360729454925,5.497881318681319,4.4833,3.2628644067891592
